model,family,metric_name,block,reading_bin,reading_phase,raw_spearman_rho,length_controlled_spearman_rho,n_programs,status
Qwen,Expert-choice confidence,fixed_v8_composite_1,8,8,late,-0.0491202346041055,0.2430351906158357,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,8,9,late,-0.1140029325513196,0.1085043988269794,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,8,10,late,-0.1979472140762463,0.187683284457478,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,8,11,late,-0.0854105571847507,0.1620234604105571,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,9,0,early,-0.0579178885630498,0.157991202346041,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,9,1,early,-0.0854105571847507,0.3808651026392961,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,9,2,early,0.0219941348973607,0.2980205278592375,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,9,3,early,-0.1074046920821114,0.2576979472140762,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,9,4,middle,-0.0249266862170087,0.2848240469208211,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,9,5,middle,0.002932551319648,0.3196480938416422,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,9,6,middle,-0.0062316715542521,0.2324046920821113,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,9,7,middle,0.0553519061583577,0.2653958944281525,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,9,8,late,0.1645894428152492,0.4945014662756597,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,9,9,late,0.0065982404692082,0.251099706744868,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,9,10,late,-0.0069648093841642,0.4321847507331378,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,9,11,late,0.0465542521994134,0.3225806451612903,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,10,0,early,0.0205278592375366,0.2122434017595307,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,10,1,early,-0.0751466275659824,0.3170821114369501,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,10,2,early,-0.002565982404692,0.3570381231671554,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,10,3,early,0.0,0.3885630498533724,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,10,4,middle,-0.0454545454545454,0.2045454545454545,32,available
