region_id,program_id,semantic_type,human_attention,human_regression,eeg_theta,qwen_hidden,qwen_moe_write,qwen_integration,qwen_confidence,qwen_choice_change,qwen_residual,glm_hidden,glm_moe_write,glm_integration,glm_confidence,glm_choice_change,glm_residual,human_attention_heatmap_z,qwen_integration_heatmap_z,glm_integration_heatmap_z
R112,P07,variable update,-0.5430845059678693,-0.1259119345191876,-0.7544029490213428,1.1102671089458709,1.0769229955940012,0.6616331610678483,1.4202685623044518,1.569899537042986,-0.2022906213363271,0.9043989226844228,0.4062696774509785,0.7831905833947909,1.908882855179703,-1.4823130496474206,1.0389031500489707,-0.5662327193582625,0.7818783159606303,1.3222830014786249
R113,P07,variable update,-0.035302099129684,0.0599944347917711,0.1370853915317728,0.0152197687067819,0.0659082240171057,-0.1751477219714429,-0.6906752366834352,-0.188884184812926,-0.6065711586382163,-0.2447974169621483,0.4735159372861205,0.3524980343225317,0.0426692102506477,-0.11698446136151,0.828775582643623,-0.0368068014638564,-0.2069790541912231,0.5951324859128961
R114,P08,variable update,1.0502761655630228,1.3926390538877826,1.0768082754047574,-0.4585315296086703,0.5057918019091266,-0.3433582203532981,0.2287050166786985,0.2565503682922248,-1.0773349333603506,-0.6845627441574211,-0.4589137608366311,-0.0457785526497293,-0.1725076654174986,-1.0283949650640107,1.0061408470448645,1.0950427102391016,-0.4057601143627466,-0.077289236214574
R115,P08,variable update,-0.909196871423818,-1.3873488554565665,3.028832702481912,-1.1591730375656215,-0.4940184856115283,-0.7722037478749376,-1.1045494716290596,0.4396617655938787,-0.6634197204476627,-1.019721788121282,-0.6873215109183772,-0.9169509234985443,-1.092811585623577,0.7479620709970314,-1.0438094714559738,-0.9479501095705928,-0.9125439918889264,-1.5481143990224258
R116,P10,variable update,0.0793754643894345,0.4134126395724797,0.885097871278705,-0.9757443106064668,0.7826598931064058,0.1042419370122573,-0.4855033769845551,-0.9890455649785506,0.5058102285368331,-0.5447910671114813,0.0253625728998412,0.0144347798237413,-0.2062116213564394,-0.367175522878434,0.562732833682864,0.0827587319425636,0.1231868578534863,0.0243706505104896
R117,P10,variable update,0.7710340390228799,0.8649247609064584,0.2498420604462073,0.0663631562378818,0.1577010891786719,0.3622133621208989,-0.367652573978576,-0.623569003192613,0.8625758409461427,-0.0361920199950172,-1.4992681246183834,-0.8535012412250248,-0.7998185736024394,1.3126790728529678,-1.0250435790616734,0.8038982807208641,0.4280419880050185,-1.4409904906171034
R118,P10,variable update,0.0478916766364769,0.0572083125050089,1.920445865108175,-0.0571690884243189,0.3830913526604322,0.2343941261250849,-0.811007083266623,-0.76583941973366,0.3772601141391416,-1.0694859677177833,-0.2758208866841635,-0.7504412102681809,-0.9395769067417736,0.1912867968779697,-0.9060167764025958,0.0499329920086199,0.276992894839126,-1.2669913006940012
R119,P10,variable update,-0.2312760422832529,0.374394147008755,0.0143338529390711,-1.3691662127671884,-2.353018720282408,-1.2995595864855396,-1.411865517911044,-1.072388161607007,-0.1764938264070227,-0.8419794789870209,-0.9485913933182076,-1.0471529247568745,-1.0661182249853438,1.0696363253022758,-1.350887901965394,-0.2411338583690152,-1.535741436133382,-1.7679381515963295
R120,P10,variable update,0.2951850187190236,-0.3941765643859785,0.1136338055256088,1.2585009176256523,0.6315966639896887,1.2386022640274543,-1.0263047782482126,0.9999075924488732,1.8257092104670216,-0.6411586909886757,-0.918509912426166,-1.0235060982283173,-1.0791688645448536,1.6566919009236238,-1.5108496912701104,0.3077668650576106,1.4637057350326792,-1.7280145398719746
R121,P10,variable update,-0.2007398315068499,-0.2079966682768708,0.9097200265318244,0.4476611262873318,0.5410381442538486,0.6843466703867701,-0.991878307960972,0.2931056635456788,1.06434074061913,0.0557542657084689,-0.4868391881074685,-0.5828875907660831,-1.1004058146816602,2.103461754491865,-1.3175778498992496,-0.2092960845477846,0.8087197765475997,-0.9841057456308852
R122,P10,variable update,-0.7259816371051562,-0.9674112344927912,-1.126794704090396,-1.367957937644422,-1.742235881009476,-0.9121660405118976,-1.298066607127848,-0.4167500361702713,0.3736956971182056,-1.251365230896213,-1.1531421550769407,-1.367431282749469,-1.0681173955453154,0.9695598235230506,-1.6977864622752528,-0.7569255835233429,-1.0779430197858264,-2.3086732389353664
R123,P10,variable update,-1.0538050694786498,-0.8815397069767834,0.6305205136914156,0.9641017802961896,0.7153911599540607,1.1783939989054222,-0.2594813318721932,-0.3593818029805858,1.8556890564660165,-0.6310214280859334,-1.0887976473248264,-1.164614659727359,-1.1105561790416736,1.8577383937475056,-1.7740249037713167,-1.0987220287218458,1.3925552248851107,-1.966252149196281
R124,P10,variable update,-0.8359917923107595,-1.0073646647545849,1.5709360063787277,0.3446115583032413,1.3741520436388808,1.2110687138182603,-0.7118012370274549,0.2597709468892333,1.9144425395126583,-0.911965255408904,-0.8309123932254381,-1.498449383758634,-1.138945630306453,1.4109685401792622,-2.75247050264156,-0.8716247669001168,1.431168239730544,-2.529874835996831
